Channel Id,Channel Url,Channel Title
UC--DwaiMV-jtO-6EvmKOnqg,http://www.youtube.com/channel/UC--DwaiMV-jtO-6EvmKOnqg,OALabs
UC-3J5xNrAbTLbU1gN8mMpOA,http://www.youtube.com/channel/UC-3J5xNrAbTLbU1gN8mMpOA,Nitro Rad
UC-5Y-Uxfu6BQAJkTVgFw9Dg,http://www.youtube.com/channel/UC-5Y-Uxfu6BQAJkTVgFw9Dg,No Escape
UC-7nELDbJEPF3muAzSeT74g,http://www.youtube.com/channel/UC-7nELDbJEPF3muAzSeT74g,Disrupt
UC-BIyaiQIzNbjXErkDRCqXg,http://www.youtube.com/channel/UC-BIyaiQIzNbjXErkDRCqXg,ito can't sleep
UC-tLyAaPbRZiYrOJxAGB7dQ,http://www.youtube.com/channel/UC-tLyAaPbRZiYrOJxAGB7dQ,Pursuit of Wonder
UC-ufRLYrXxrIEApGn9VG5pQ,http://www.youtube.com/channel/UC-ufRLYrXxrIEApGn9VG5pQ,Reject Convenience
UC06b5TQFFMFZvMakw1QLpQg,http://www.youtube.com/channel/UC06b5TQFFMFZvMakw1QLpQg,Clark Elieson
UC0XqDEV-VueSv5fszMDCzuw,http://www.youtube.com/channel/UC0XqDEV-VueSv5fszMDCzuw,I can't sleep
UC0e3QhIYukixgh5VVpKHH9Q,http://www.youtube.com/channel/UC0e3QhIYukixgh5VVpKHH9Q,Code Bullet
UC0sj9Ykf4skAGwgVC75zorQ,http://www.youtube.com/channel/UC0sj9Ykf4skAGwgVC75zorQ,Treesicle
UC1SmKqkU9a4CeGByv4U6DQg,http://www.youtube.com/channel/UC1SmKqkU9a4CeGByv4U6DQg,Press Play Essays
UC1aoAQssmzviy1RcUnrQWHA,http://www.youtube.com/channel/UC1aoAQssmzviy1RcUnrQWHA,Aidyn Davis
UC1s1OsWNYDFgbROPV-q5arg,http://www.youtube.com/channel/UC1s1OsWNYDFgbROPV-q5arg,Michael Horn
UC2Ds30pkifFVD0CE08wF50g,http://www.youtube.com/channel/UC2Ds30pkifFVD0CE08wF50g,Daidus
UC2FcFrXxhKDjC6LymB0jylQ,http://www.youtube.com/channel/UC2FcFrXxhKDjC6LymB0jylQ,Heydon Pickering
UC2I7SKyAgkJz1MobOnOAtWw,http://www.youtube.com/channel/UC2I7SKyAgkJz1MobOnOAtWw,Lowkey Wisdom
UC2JXibRCWso20dp4a8ET1Vw,http://www.youtube.com/channel/UC2JXibRCWso20dp4a8ET1Vw,kiyosumi
UC2OGLHkY4XTXFUpdWkaNmTA,http://www.youtube.com/channel/UC2OGLHkY4XTXFUpdWkaNmTA,PIMPNITE
UC2PA-AKmVpU6NKCGtZq_rKQ,http://www.youtube.com/channel/UC2PA-AKmVpU6NKCGtZq_rKQ,Philosophy Tube
UC2Wp8tIqdu49varUbulqVdg,http://www.youtube.com/channel/UC2Wp8tIqdu49varUbulqVdg,Imran
UC2npWGlhozt12eiJ2fzjLbg,http://www.youtube.com/channel/UC2npWGlhozt12eiJ2fzjLbg,Elzani Singleton
UC3ETCazlHenpXEsrEJH-k5A,http://www.youtube.com/channel/UC3ETCazlHenpXEsrEJH-k5A,The Anime Man
UC3GAQgCfYbqbfKuZm9JZPCw,http://www.youtube.com/channel/UC3GAQgCfYbqbfKuZm9JZPCw,John Hubbard
UC3_kehZbfRz-KrjXIqeIiPw,http://www.youtube.com/channel/UC3_kehZbfRz-KrjXIqeIiPw,Leadhead
UC3cpN6gcJQqcCM6mxRUo_dA,http://www.youtube.com/channel/UC3cpN6gcJQqcCM6mxRUo_dA,Wendigoon
UC3s0BtrBJpwNDaflRSoiieQ,http://www.youtube.com/channel/UC3s0BtrBJpwNDaflRSoiieQ,Hak5
UC4dxXZQq-ofAadUWbqhoceQ,http://www.youtube.com/channel/UC4dxXZQq-ofAadUWbqhoceQ,DeviantOllam
UC5--wS0Ljbin1TjWQX6eafA,http://www.youtube.com/channel/UC5--wS0Ljbin1TjWQX6eafA,bigboxSWE
UC58IKuPHnZkdCZ6T5mSRGCg,http://www.youtube.com/channel/UC58IKuPHnZkdCZ6T5mSRGCg,Night Mind
UC5B7hk6GLHb81HoWAGBFj_w,http://www.youtube.com/channel/UC5B7hk6GLHb81HoWAGBFj_w,This Is Chris
UC5KDiSAFxrDWhmysBcNqtMA,http://www.youtube.com/channel/UC5KDiSAFxrDWhmysBcNqtMA,Eric Murphy
UC5UAwBUum7CPN5buc-_N1Fw,http://www.youtube.com/channel/UC5UAwBUum7CPN5buc-_N1Fw,The Linux Experiment
UC5WJmNetMNbu45-MIvU5LiA,http://www.youtube.com/channel/UC5WJmNetMNbu45-MIvU5LiA,Pensive Scarlet
UC5YYDtjudfqxGwnJI-32qYQ,http://www.youtube.com/channel/UC5YYDtjudfqxGwnJI-32qYQ,Mults
UC5gmH9jjdUUTGHVl-Qp4BbQ,http://www.youtube.com/channel/UC5gmH9jjdUUTGHVl-Qp4BbQ,Exits Examined
UC5uL4te1qtw56kSmz1q6E_A,http://www.youtube.com/channel/UC5uL4te1qtw56kSmz1q6E_A,Cryptid
UC5viqFAuBqbdIgM-WRyFAtg,http://www.youtube.com/channel/UC5viqFAuBqbdIgM-WRyFAtg,Patratick
UC6IxnFzHofFJ5X2PycSMsww,http://www.youtube.com/channel/UC6IxnFzHofFJ5X2PycSMsww,xkcd's What If?
UC6k3vKPMpTQA93kyGvU2Gvg,http://www.youtube.com/channel/UC6k3vKPMpTQA93kyGvU2Gvg,Elzani
UC6q0EKputacfW2xuEer-dBw,http://www.youtube.com/channel/UC6q0EKputacfW2xuEer-dBw,Rock Goes Nightcore Mixes
UC6zbKG1pqq2do-_oa9QFliA,http://www.youtube.com/channel/UC6zbKG1pqq2do-_oa9QFliA,Critical Thinking - Bug Bounty Podcast
UC7YOGHUfC1Tb6E4pudI9STA,http://www.youtube.com/channel/UC7YOGHUfC1Tb6E4pudI9STA,Mental Outlaw
UC7_YxT-KID8kRbqZo7MyscQ,http://www.youtube.com/channel/UC7_YxT-KID8kRbqZo7MyscQ,Markiplier
UC7dF9qfBMXrSlaaFFDvV_Yg,http://www.youtube.com/channel/UC7dF9qfBMXrSlaaFFDvV_Yg,Gigguk
UC8Brf3y0cLrxdn-Fv2P1BvQ,http://www.youtube.com/channel/UC8Brf3y0cLrxdn-Fv2P1BvQ,Ferry
UC8LXCHJF4iCb71xCM4WpJ8w,http://www.youtube.com/channel/UC8LXCHJF4iCb71xCM4WpJ8w,Rock Goes Nightcore
UC8b6neqf87RVBAkN_BLrS6A,http://www.youtube.com/channel/UC8b6neqf87RVBAkN_BLrS6A,IvoryTV
UC8q5BGkSzK6Kafk_6gKV8HA,http://www.youtube.com/channel/UC8q5BGkSzK6Kafk_6gKV8HA,Privacy Guides
UC8qtLT3SyEumgCXmiloAB_w,http://www.youtube.com/channel/UC8qtLT3SyEumgCXmiloAB_w,Panopticon Theatre
UC9-y-6csu5WGm29I7JiwpnA,http://www.youtube.com/channel/UC9-y-6csu5WGm29I7JiwpnA,Computerphile
UC9H0HzpKf5JlazkADWnW1Jw,http://www.youtube.com/channel/UC9H0HzpKf5JlazkADWnW1Jw,bashbunni
UC9OZkS1Mhl5UvKSiPrYqsxg,http://www.youtube.com/channel/UC9OZkS1Mhl5UvKSiPrYqsxg,WolfeyVGC
